npz,dut,mode,target,proxy,n_fixed,n_random,cycles,alpha,threshold,max_A2,argmax_cycle,n_leaking,n_confirmed,degenerate
../traces/array5x5_act.npz,systolic_array,tvla,act,P_reg,1000,1000,14,1e-05,25.9810,1760.9562,10,13,13,0
../traces/array5x5_act.npz,systolic_array,tvla,act,P_comb,1000,1000,14,1e-05,32.3740,1375.7917,10,13,13,0
../traces/array5x5_act.npz,systolic_array,tvla,act,P_tot,1000,1000,14,1e-05,30.8148,1582.6178,10,13,13,0
../traces/pe_act.npz,processing_element,tvla,act,P_reg,1000,1000,9,1e-05,35.1369,1470.7699,4,9,9,0
../traces/pe_act.npz,processing_element,tvla,act,P_comb,1000,1000,9,1e-05,33.2811,1056.7672,4,9,9,0
../traces/pe_act.npz,processing_element,tvla,act,P_tot,1000,1000,9,1e-05,29.6840,1104.3111,4,9,9,0
../traces/mult_act.npz,mult_dut,tvla,act,P_reg,1000,1000,5,1e-05,37.9609,1708.3476,0,5,5,0
../traces/mult_act.npz,mult_dut,tvla,act,P_comb,1000,1000,5,1e-05,31.0816,1270.2009,0,5,5,0
../traces/mult_act.npz,mult_dut,tvla,act,P_tot,1000,1000,5,1e-05,28.4407,1301.8214,0,5,5,0
../traces/psum_act.npz,psum_accum,tvla,act,P_reg,1000,1000,10,1e-05,23.0774,822.1928,6,8,8,0
../traces/psum_act.npz,psum_accum,tvla,act,P_comb,1000,1000,10,1e-05,29.6593,1328.7410,6,9,9,0
../traces/psum_act.npz,psum_accum,tvla,act,P_tot,1000,1000,10,1e-05,27.2149,1362.1471,6,9,9,0
../traces/maxpool_act.npz,maxpool_unit,tvla,act,P_reg,1000,1000,33,1e-05,33.7112,2003.0916,4,32,31,0
../traces/maxpool_act.npz,maxpool_unit,tvla,act,P_comb,1000,1000,33,1e-05,31.0001,1801.3625,12,33,33,0
../traces/maxpool_act.npz,maxpool_unit,tvla,act,P_tot,1000,1000,33,1e-05,31.3934,1800.4748,12,33,33,0
../traces/requantize_act.npz,requantize,tvla,act,P_reg,1000,1000,11,1e-05,30.5562,1717.8431,9,11,11,0
../traces/requantize_act.npz,requantize,tvla,act,P_comb,1000,1000,11,1e-05,29.0072,1528.1019,9,10,10,0
../traces/requantize_act.npz,requantize,tvla,act,P_tot,1000,1000,11,1e-05,33.2347,1709.8078,9,11,11,0
../traces/act_relu_act.npz,activation_unit,tvla,act,P_reg,1000,1000,13,1e-05,34.3427,1280.0964,2,13,13,0
../traces/act_relu_act.npz,activation_unit,tvla,act,P_comb,1000,1000,13,1e-05,31.8970,1526.9053,2,13,13,0
../traces/act_relu_act.npz,activation_unit,tvla,act,P_tot,1000,1000,13,1e-05,30.8725,1566.0445,1,13,13,0
../traces/act_relu_clip_act.npz,activation_unit,tvla,act,P_reg,1000,1000,13,1e-05,34.3427,1280.0964,2,13,13,0
../traces/act_relu_clip_act.npz,activation_unit,tvla,act,P_comb,1000,1000,13,1e-05,31.8970,1526.9053,2,13,13,0
../traces/act_relu_clip_act.npz,activation_unit,tvla,act,P_tot,1000,1000,13,1e-05,30.8725,1566.0445,1,13,13,0
../traces/act_leaky_act.npz,activation_unit,tvla,act,P_reg,1000,1000,13,1e-05,32.8452,1821.8700,1,13,13,0
../traces/act_leaky_act.npz,activation_unit,tvla,act,P_comb,1000,1000,13,1e-05,29.2366,1755.6747,0,13,13,0
../traces/act_leaky_act.npz,activation_unit,tvla,act,P_tot,1000,1000,13,1e-05,29.6590,1746.6050,0,13,13,0
