npz,dut,proxy,cycle,exact,n_secrets,n_obs,H_S,MI,L_min,H_inf_S_given_O
../traces/qif_mult_wt.npz,mult_dut,P_reg,1,1,256,27,8.0000,0.419826,2.419960,5.580040
../traces/qif_mult_wt.npz,mult_dut,P_comb,1,1,256,348,8.0000,1.135230,3.222795,4.777205
../traces/qif_mult_wt.npz,mult_dut,P_tot,1,1,256,358,8.0000,1.232846,3.338179,4.661821
../traces/qif_mult_act.npz,mult_dut,P_reg,1,1,256,27,8.0000,0.419826,2.419960,5.580040
../traces/qif_mult_act.npz,mult_dut,P_comb,1,1,256,348,8.0000,1.108506,3.144658,4.855342
../traces/qif_mult_act.npz,mult_dut,P_tot,1,1,256,358,8.0000,1.217059,3.290019,4.709981
../traces/qif_pe_wt.npz,processing_element,P_reg,0,1,256,41,8.0000,0.319191,2.260920,5.739080
../traces/qif_pe_wt.npz,processing_element,P_comb,0,1,256,345,8.0000,1.139243,3.219774,4.780226
../traces/qif_pe_wt.npz,processing_element,P_tot,0,1,256,367,8.0000,1.056630,3.115694,4.884306
../traces/qif_pe_act.npz,processing_element,P_reg,0,1,256,41,8.0000,0.781865,2.887221,5.112779
../traces/qif_pe_act.npz,processing_element,P_comb,0,1,256,345,8.0000,1.236673,3.288866,4.711134
../traces/qif_pe_act.npz,processing_element,P_tot,0,1,256,367,8.0000,1.170904,3.273796,4.726204
../traces/qif_act_act.npz,activation_unit,P_reg,0,1,256,9,8.0000,2.084369,3.087463,4.912537
../traces/qif_act_act.npz,activation_unit,P_comb,0,1,256,17,8.0000,2.526527,3.523562,4.476438
../traces/qif_act_act.npz,activation_unit,P_tot,0,1,256,25,8.0000,2.886700,3.807355,4.192645
../traces/qif_act_mode.npz,activation_unit,P_reg,0,1,4,9,2.0000,0.377344,0.791163,1.208837
../traces/qif_act_mode.npz,activation_unit,P_comb,0,1,4,17,2.0000,0.305313,0.679480,1.320520
../traces/qif_act_mode.npz,activation_unit,P_tot,0,1,4,25,2.0000,0.437593,0.882643,1.117357
../traces/qif_psum_psum.npz,psum_accum,P_reg,0,1,262144,19,18.0000,1.999992,4.247928,13.752072
../traces/qif_psum_psum.npz,psum_accum,P_comb,0,1,262144,34,18.0000,4.090187,5.087463,12.912537
../traces/qif_psum_psum.npz,psum_accum,P_tot,0,1,262144,121,18.0000,5.645166,6.918863,11.081137
../traces/qif_requant_acc_c256.npz,requantize,P_reg,1,1,262144,68,18.0000,5.007103,6.087463,11.912537
../traces/qif_requant_acc_c256.npz,requantize,P_comb,1,1,262144,80,18.0000,5.046118,6.321928,11.678072
../traces/qif_requant_acc_c256.npz,requantize,P_tot,1,1,262144,134,18.0000,5.982832,7.066089,10.933911
../traces/qif_requant_m0_c256.npz,requantize,P_reg,2,1,256,44,8.0000,0.886914,2.659996,5.340004
../traces/qif_requant_m0_c256.npz,requantize,P_comb,2,1,256,44,8.0000,0.886914,2.659996,5.340004
../traces/qif_requant_m0_c256.npz,requantize,P_tot,2,1,256,44,8.0000,0.886914,2.659996,5.340004
../traces/qif_maxpool_win_w2.npz,maxpool_unit,P_reg,1,1,65536,10,16.0000,2.962003,3.321928,12.678072
../traces/qif_maxpool_win_w2.npz,maxpool_unit,P_comb,1,1,65536,25,16.0000,3.706986,4.643856,11.356144
../traces/qif_maxpool_win_w2.npz,maxpool_unit,P_tot,1,1,65536,31,16.0000,3.960106,4.954196,11.045804
../traces/qif_addrgen_act.npz,address_generator,P_reg,0,1,256,2,8.0000,0.008005,0.321928,7.678072
../traces/qif_addrgen_act.npz,address_generator,P_comb,0,1,256,1,8.0000,0.000000,0.000000,8.000000
../traces/qif_addrgen_act.npz,address_generator,P_tot,0,1,256,2,8.0000,0.008005,0.321928,7.678072
../traces/qif_loadctrl_act.npz,load_controller,P_reg,0,1,256,2,8.0000,0.001964,0.087463,7.912537
