npz,dut,mode,target,proxy,n_fixed,n_random,cycles,threshold,max_abs_t,argmax_cycle,n_leaking,n_confirmed
../traces/array5x5_act.npz,systolic_array,tvla,act,P_reg,1000,1000,14,4.500,69.6042,10,12,11
../traces/array5x5_act.npz,systolic_array,tvla,act,P_comb,1000,1000,14,4.500,54.1877,10,12,10
../traces/array5x5_act.npz,systolic_array,tvla,act,P_tot,1000,1000,14,4.500,61.3017,10,12,11
../traces/pe_act.npz,processing_element,tvla,act,P_reg,1000,1000,9,4.500,39.2240,4,9,9
../traces/pe_act.npz,processing_element,tvla,act,P_comb,1000,1000,9,4.500,43.5883,4,7,7
../traces/pe_act.npz,processing_element,tvla,act,P_tot,1000,1000,9,4.500,44.0455,4,8,7
../traces/mult_act.npz,mult_dut,tvla,act,P_reg,1000,1000,5,4.500,62.3114,0,4,4
../traces/mult_act.npz,mult_dut,tvla,act,P_comb,1000,1000,5,4.500,40.0442,0,5,4
../traces/mult_act.npz,mult_dut,tvla,act,P_tot,1000,1000,5,4.500,40.8462,0,5,3
../traces/psum_act.npz,psum_accum,tvla,act,P_reg,1000,1000,10,4.500,36.3271,6,8,7
../traces/psum_act.npz,psum_accum,tvla,act,P_comb,1000,1000,10,4.500,50.6668,6,8,7
../traces/psum_act.npz,psum_accum,tvla,act,P_tot,1000,1000,10,4.500,53.6981,6,8,8
../traces/mac_act.npz,mac_unit,tvla,act,P_reg,1000,1000,8,4.500,42.5291,2,7,7
../traces/mac_act.npz,mac_unit,tvla,act,P_comb,1000,1000,8,4.500,27.2008,0,5,5
../traces/mac_act.npz,mac_unit,tvla,act,P_tot,1000,1000,8,4.500,26.4387,1,6,5
../traces/requantize_act.npz,requantize,tvla,act,P_reg,1000,1000,11,4.500,54.9817,9,8,8
../traces/requantize_act.npz,requantize,tvla,act,P_comb,1000,1000,11,4.500,41.1587,9,9,9
../traces/requantize_act.npz,requantize,tvla,act,P_tot,1000,1000,11,4.500,47.8880,9,11,8
../traces/maxpool_act.npz,maxpool_unit,tvla,act,P_reg,1000,1000,33,4.500,90.6320,4,27,27
../traces/maxpool_act.npz,maxpool_unit,tvla,act,P_comb,1000,1000,33,4.500,88.8881,4,28,27
../traces/maxpool_act.npz,maxpool_unit,tvla,act,P_tot,1000,1000,33,4.500,91.1409,4,30,28
../traces/act_relu_act.npz,activation_unit,tvla,act,P_reg,1000,1000,13,4.500,44.8724,2,13,12
../traces/act_relu_act.npz,activation_unit,tvla,act,P_comb,1000,1000,13,4.500,54.1340,2,13,13
../traces/act_relu_act.npz,activation_unit,tvla,act,P_tot,1000,1000,13,4.500,51.9970,2,11,10
../traces/act_relu_clip_act.npz,activation_unit,tvla,act,P_reg,1000,1000,13,4.500,44.8724,2,13,12
../traces/act_relu_clip_act.npz,activation_unit,tvla,act,P_comb,1000,1000,13,4.500,54.1340,2,13,13
../traces/act_relu_clip_act.npz,activation_unit,tvla,act,P_tot,1000,1000,13,4.500,51.9970,2,11,10
../traces/act_leaky_act.npz,activation_unit,tvla,act,P_reg,1000,1000,13,4.500,68.7719,1,13,12
../traces/act_leaky_act.npz,activation_unit,tvla,act,P_comb,1000,1000,13,4.500,65.0886,1,12,11
../traces/act_leaky_act.npz,activation_unit,tvla,act,P_tot,1000,1000,13,4.500,68.3010,1,13,12
../traces/act_pass_act.npz,activation_unit,tvla,act,P_reg,1000,1000,13,4.500,65.3033,0,10,10
../traces/act_pass_act.npz,activation_unit,tvla,act,P_comb,1000,1000,13,4.500,65.3033,0,10,10
../traces/act_pass_act.npz,activation_unit,tvla,act,P_tot,1000,1000,13,4.500,65.3033,0,10,10
